GEOID,county_name,year,median_income,median_rent,median_home_value,poverty_population,total_population,renter_total,rent30_34,rent35_39,rent40_49,rent50_plus,poverty_rate,rent_to_income_ratio,rent_burden_rate,income_score,rent_score,poverty_score,burden_score,ratio_score,housing_stress_index
41017,Deschutes,2021,74082,1425,435600,18223,193647,24051,2312,1776,1794,5729,0.09410422056628814,0.2308253016927189,0.4827657893642676,0.4561741012384273,0.6906666666666667,0.2563552569714429,0.7905516329440445,0.6702674048385305,0.5728030125318224
41031,Jefferson,2021,59748,850,267300,3423,22968,2558,188,179,124,634,0.14903343782654127,0.17071701144808193,0.43979671618451915,0.6716063484429482,0.17955555555555555,0.5862419156361729,0.6863204158198714,0.21929604005970768,0.4686040551028511
41015,Curry,2021,57553,921,308800,3046,23084,2583,229,68,172,582,0.1319528677872119,0.19203169252688826,0.4068912117692606,0.704596008176025,0.24266666666666667,0.4836616776606993,0.6065006635776068,0.379212596940849,0.48332752260436934
41039,Lane,2021,59016,1093,303800,61337,372681,63806,5388,3956,5677,17013,0.1645831153184627,0.2222448149654331,0.5020530984546908,0.6826079115065529,0.39555555555555555,0.6796281207739608,0.8373373686552915,0.6058910302299398,0.6402039973442601
41025,Harney,2021,42095,658,142800,854,7288,909,29,49,60,122,0.11717892425905599,0.18757572158213565,0.28602860286028603,0.9369213658771192,0.008888888888888889,0.3949342733958035,0.31332103694971153,0.3457810138731679,0.3999693157969382
41069,Wheeler,2021,46648,698,188600,204,1460,180,0,10,10,26,0.13972602739726028,0.17955753730063453,0.25555555555555554,0.8684922447998076,0.044444444444444446,0.5303446958962786,0.23940176024649545,0.2856233967830813,0.3936613084340215
41037,Lake,2021,50685,770,160100,1447,7579,1296,61,48,55,254,0.1909222852619079,0.18230245634803197,0.32253086419753085,0.8078183239148732,0.10844444444444444,0.8378124386657972,0.40186553757344945,0.30621755915193444,0.4924316607500997
41063,Wallowa,2021,57891,769,285000,651,7251,861,47,22,17,140,0.08978071990070335,0.15940301601285173,0.26248548199767713,0.6995160514608634,0.10755555555555556,0.2303897460931994,0.2562118660782348,0.13441111084676308,0.28561686600692326
41041,Lincoln,2021,54961,999,287200,6778,49204,6839,586,440,493,1439,0.1377530282090887,0.21811830206873964,0.43251937417751135,0.7435523626307563,0.312,0.5184955172223796,0.6686675748650239,0.5749312550437656,0.563529341952385
41027,Hood River,2021,77815,1168,444300,1487,23693,2781,206,65,142,443,0.06276115308318912,0.18011951423247446,0.30780294857964763,0.400069135505591,0.4622222222222222,0.06811919026556462,0.36613964318116377,0.28983971208492404,0.3172779806518931
